Language_ID,Parameter_ID,Value,Language_ID_raw,Parameter_ID_raw,Code_ID,Language_abbr,Language_Type_ID,Language_Region_ID,Parameter_Category_ID,Parameter_Description,Parameter_Attestation,Parameter_Pervasiveness,Source,Example_ID,Comment
Orkney and Shetland English,She/her used for inanimate referents,B,1,1,1-B,O&SE,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,4084,
Scottish English,She/her used for inanimate referents,B,2,1,1-B,ScE,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,4013,
Irish English,She/her used for inanimate referents,B,3,1,1-B,IrE,L1c,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,3951,
Manx English,She/her used for inanimate referents,C,4,1,1-C,ManxE,L1c,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,1893,
Welsh English,She/her used for inanimate referents,B,5,1,1-B,WelE,L1c,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
English dialects in the North of England,She/her used for inanimate referents,C,6,1,1-C,North,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
English dialects in the Southwest of England,She/her used for inanimate referents,C,7,1,1-C,SW,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,1154,
East Anglian English,She/her used for inanimate referents,C,8,1,1-C,EA,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,331,
English dialects in the Southeast of England,She/her used for inanimate referents,D,9,1,1-D,SE,L1t,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Channel Islands English,She/her used for inanimate referents,C,10,1,1-C,ChIsE,L1c,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,418,
British Creole,She/her used for inanimate referents,D,11,1,1-D,BrC,Cr,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Maltese English,She/her used for inanimate referents,C,12,1,1-C,MaltE,L1c,BI,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Newfoundland English,She/her used for inanimate referents,A,13,1,1-A,NfldE,L1t,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,2043,
Colloquial American English,She/her used for inanimate referents,C,14,1,1-C,CollAmE,L1c,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Urban African American Vernacular English,She/her used for inanimate referents,C,15,1,1-C,UAAVE,L1c,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Rural African American Vernacular English,She/her used for inanimate referents,C,16,1,1-C,RAAVE,L1c,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Earlier African American Vernacular English,She/her used for inanimate referents,D,17,1,1-D,EAAVE,L1c,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Ozark English,She/her used for inanimate referents,B,18,1,1-B,OzE,L1t,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Appalachian English,She/her used for inanimate referents,D,19,1,1-D,AppE,L1t,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Southeast American enclave dialects,She/her used for inanimate referents,B,20,1,1-B,SEAmE,L1t,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Gullah,She/her used for inanimate referents,C,21,1,1-C,Gullah,Cr,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Chicano English,She/her used for inanimate referents,?,22,1,1-NA,ChcE,L2,Am,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Bahamian English,She/her used for inanimate referents,B,23,1,1-B,BahE,L1c,Ca,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
Bahamian Creole,She/her used for inanimate referents,D,24,1,1-D,BahC,Cr,Ca,1,She was burning good [about a house],0.486842105263158,0.451351351351351,,,
